species,n_reg,cx,cy,elongacion,max_dist_m,clase_id,clase_lbl,radio_km,radio_m,flag_elongada
Masdevallia amaluzae,6,706155.7550427769,9501896.324944647,5.340308480061501,15502.001074970976,4,<= 100 km,100,100000,TRUE
Masdevallia setacea,6,705760.9809735907,9511578.138306713,25.54776519579575,47908.040923808876,4,<= 100 km,100,100000,TRUE
Miconia ampla,6,762747.246396161,9544915.163027085,6.283001529751431,40524.33546945645,4,<= 100 km,100,100000,TRUE
Miconia reburrosa,6,709838.7829792402,9557024.38614037,10.28450700605525,60276.65735296247,4,<= 100 km,100,100000,TRUE
Microbates cinereiventris,6,761423.1886249686,9535565.446670132,6.258955488757138,30993.19810494509,4,<= 100 km,100,100000,TRUE
Oxyura ferruginea,6,715549.1633061991,9603716.220907878,7.731277467905123,2841.4893986936736,4,<= 100 km,100,100000,TRUE
Pachyramphus xanthogenys,6,709875.2659363498,9462323.149626313,7.179922379280917,34598.067955565806,4,<= 100 km,100,100000,TRUE
Palicourea gomezii,6,759992.7353157987,9526914.95032875,9.54435288922031,4097.489523236203,4,<= 100 km,100,100000,TRUE
Pappobolus acuminatus,6,697622.6084622664,9539212.260758504,5.932001138748023,33056.917727798544,4,<= 100 km,100,100000,TRUE
Parasteatoda tepidariorum,6,698397.9202735203,9555694.413889162,5.505801140514514,5814.086807719689,4,<= 100 km,100,100000,TRUE
Parodiophyllochloa pantrichum,6,726326.0329827234,9534253.801354896,23.993213538129524,68845.21479442905,4,<= 100 km,100,100000,TRUE
Persea sericea,6,705670.8623425418,9538047.428748313,10.168313986541841,33493.48585125725,4,<= 100 km,100,100000,TRUE
Phlegmariurus hastata,6,688185.8013604936,9492524.075929174,6.45104144359676,30560.708312445844,4,<= 100 km,100,100000,TRUE
Pityeja histrionaria,6,707313.3310930305,9521970.86801266,5.2362150527026605,38566.73542386435,4,<= 100 km,100,100000,TRUE
Pleopeltis fraseri,6,707971.5292777496,9560320.61868125,5.313861105979363,5348.783267444154,4,<= 100 km,100,100000,TRUE
Pleurothallis restrepioides,6,708524.350221706,9513386.6400617,9.728353705194765,47610.283105013375,4,<= 100 km,100,100000,TRUE
Pleurothyrium bilocellatum,6,762333.9214641267,9513765.748411983,58.44454176571504,28244.103929175424,4,<= 100 km,100,100000,TRUE
Prionodon fuscolutescens,6,703737.6667767364,9529081.38219634,18.14896328771056,21204.85991291448,4,<= 100 km,100,100000,TRUE
Pristimantis sternothylax,6,712569.1493314579,9553093.84342974,35.72229463856021,58785.26833158564,4,<= 100 km,100,100000,TRUE
Psarocolius oseryi,6,761400.0347864944,9528908.378742177,5.102348747575402,4146.603410892277,4,<= 100 km,100,100000,TRUE
Pteris grandifolia,6,718745.8552439559,9486904.263362521,7.4630577818606225,65580.85857911757,4,<= 100 km,100,100000,TRUE
Pterozonium reniforme,6,761566.9717323733,9541307.702343758,4.052323433091583,59006.74715647915,4,<= 100 km,100,100000,TRUE
Scaphosepalum triceratops,6,707190.8887409086,9514374.124402665,16.123218393986384,46053.892926377324,4,<= 100 km,100,100000,TRUE
Sisyrinchium micranthum,6,701513.6231450329,9539045.692376254,5.404253830252876,42937.85549674098,4,<= 100 km,100,100000,TRUE
